                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.78655,                0.44142,                0.89865,                 0.9225,                0.82814,                0.92186,                0.72549,                0.93574,                0.56096,                0.98426,               0.006535,               0.006535,               0.006535
                     72,                0.78332,                0.44501,                0.90002,                0.87069,                0.89445,                0.92383,                0.72394,                0.94686,                0.54824,                0.98402,              0.0064855,              0.0064855,              0.0064855
                     73,                0.77138,                0.44775,                0.89346,                0.90766,                0.85921,                0.93082,                0.75452,                0.87143,                0.55654,                0.94917,               0.006436,               0.006436,               0.006436
                     74,                0.75425,                0.45872,                0.89928,                0.90334,                 0.8835,                0.93712,                0.74568,                0.92205,                0.58862,                0.97464,              0.0063865,              0.0063865,              0.0063865
                     75,                0.75378,                0.45381,                0.89622,                0.94643,                0.80861,                 0.9382,                0.74993,                0.88638,                0.57517,                0.96211,               0.006337,               0.006337,               0.006337
                     76,                0.75051,                0.44747,                0.89539,                0.86042,                0.92552,                0.93481,                0.75048,                0.89436,                0.56596,                0.96886,              0.0062875,              0.0062875,              0.0062875
                     77,                0.75525,                0.43822,                0.89908,                0.89607,                 0.8905,                0.93615,                0.75404,                0.87642,                0.54617,                0.95813,               0.006238,               0.006238,               0.006238
                     78,                0.76286,                0.43573,                 0.8955,                0.87217,                0.91708,                0.94193,                0.74786,                0.92917,                0.54802,                0.97843,              0.0061885,              0.0061885,              0.0061885
                     79,                 0.7438,                0.42219,                0.88795,                0.94188,                0.84972,                0.93368,                0.74576,                0.88523,                0.55232,                0.95458,               0.006139,               0.006139,               0.006139
                     80,                0.74837,                0.43697,                0.89468,                0.90633,                0.87674,                0.94514,                0.75532,                0.88246,                0.55023,                0.95418,              0.0060895,              0.0060895,              0.0060895
                     81,                0.73876,                0.42675,                0.88769,                0.90734,                 0.8839,                0.94673,                0.75586,                0.91424,                0.53531,                0.97111,                0.00604,                0.00604,                0.00604
                     82,                0.75592,                0.43022,                0.88602,                0.87942,                0.91407,                 0.9481,                0.75888,                0.88676,                0.52747,                0.95906,              0.0059905,              0.0059905,              0.0059905
                     83,                0.73006,                0.41437,                 0.8831,                0.91953,                  0.883,                0.94525,                0.75858,                0.89206,                0.54465,                0.95813,               0.005941,               0.005941,               0.005941
                     84,                0.73492,                0.41555,                0.88544,                0.92046,                0.87358,                0.94674,                0.75885,                0.92107,                0.54545,                0.97562,              0.0058915,              0.0058915,              0.0058915
                     85,                0.74138,                 0.4188,                0.88991,                0.92261,                0.86736,                0.93628,                0.75467,                0.89028,                0.56805,                0.96205,               0.005842,               0.005842,               0.005842
                     86,                0.71874,                 0.4149,                0.88491,                0.88515,                0.88488,                0.92583,                0.74873,                0.88885,                0.59922,                0.95654,              0.0057925,              0.0057925,              0.0057925
                     87,                0.72281,                 0.4068,                0.88879,                0.91607,                0.86447,                0.94056,                0.74344,                0.94665,                0.55202,                0.99076,               0.005743,               0.005743,               0.005743
                     88,                0.71822,                0.41263,                0.88527,                0.89746,                 0.8638,                0.93848,                0.74093,                0.91888,                0.54432,                0.97261,              0.0056935,              0.0056935,              0.0056935
                     89,                0.71581,                0.40751,                0.87992,                0.88196,                0.91217,                0.93808,                0.74713,                0.92617,                 0.5373,                0.98254,               0.005644,               0.005644,               0.005644
                     90,                0.70632,                0.40286,                0.87875,                0.88748,                0.92126,                0.93603,                0.74659,                0.90871,                0.54821,                  0.968,              0.0055945,              0.0055945,              0.0055945
                     91,                0.70215,                 0.4048,                0.87378,                0.88565,                0.88861,                 0.9344,                0.74938,                 0.9045,                0.55628,                0.95871,               0.005545,               0.005545,               0.005545
                     92,                0.71571,                0.40703,                0.87573,                0.91738,                0.86732,                 0.9305,                0.74419,                0.92639,                0.56194,                0.97239,              0.0054955,              0.0054955,              0.0054955
                     93,                0.70067,                0.40424,                0.87041,                0.88804,                0.88296,                0.93911,                 0.7543,                0.89396,                0.53644,                0.95419,               0.005446,               0.005446,               0.005446
                     94,                0.69069,                0.40094,                0.87148,                0.86658,                0.92413,                0.93203,                0.74427,                0.90948,                0.53649,                0.96669,              0.0053965,              0.0053965,              0.0053965
                     95,                0.70224,                0.40172,                0.87279,                0.88156,                0.90286,                0.93181,                0.75016,                0.88555,                0.53898,                0.95469,               0.005347,               0.005347,               0.005347
                     96,                0.67964,                0.39632,                0.87471,                0.88252,                0.88893,                0.93398,                0.74902,                0.88894,                0.56059,                0.95699,              0.0052975,              0.0052975,              0.0052975
                     97,                0.68518,                0.40852,                0.87382,                0.90951,                0.85428,                0.93093,                0.74107,                0.91606,                0.57906,                0.96987,               0.005248,               0.005248,               0.005248
                     98,                0.69706,                0.40469,                0.87025,                0.88943,                0.89396,                0.92736,                0.73423,                0.90604,                 0.5362,                0.96583,              0.0051985,              0.0051985,              0.0051985
                     99,                0.70117,                0.40097,                0.87087,                0.93174,                 0.8726,                0.94156,                0.75655,                0.90281,                0.55027,                0.96938,               0.005149,               0.005149,               0.005149
                    100,                0.67349,                0.38599,                0.86903,                0.91531,                0.89193,                0.94084,                0.74549,                0.91365,                0.53211,                0.97795,              0.0050995,              0.0050995,              0.0050995
                    101,                0.66959,                0.39506,                0.86132,                 0.9018,                0.90703,                0.93682,                0.74294,                0.91541,                0.53224,                0.98416,                0.00505,                0.00505,                0.00505
                    102,                0.67434,                0.38628,                0.86514,                0.93083,                0.87687,                0.94149,                0.74995,                 0.8942,                0.53439,                0.96126,              0.0050005,              0.0050005,              0.0050005
                    103,                0.66336,                0.38051,                0.86727,                0.91747,                0.87046,                0.93678,                0.75192,                 0.9034,                0.55494,                0.96911,               0.004951,               0.004951,               0.004951
                    104,                 0.6565,                0.38052,                0.86513,                0.93356,                0.86684,                0.93518,                0.75156,                0.90026,                0.53919,                0.96813,              0.0049015,              0.0049015,              0.0049015
